candidate_id,lat,lon,country,admin_region,elevation_m,slope_deg_mean,slope_deg_max,terrain_roughness_index,distance_to_nearest_settlement_km,distance_to_road_km,population_density_within_10km,remoteness_index,land_cover_class,vegetation_index_ndvi,data_collection_date,source_ids,qa_flag,qa_notes
TT-001,-24.6272,-69.2514,Chile,Antofagasta,2510.0,6.8,24.5,8.4,84.5,18.2,0.0,0.3894,Barren / Sparsely Vegetated,0.02,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Benchmark planetary analog for Mars surface.
TT-002,-77.5333,162.9,Antarctica,Victoria Land,820.0,18.4,48.2,34.6,112.0,112.0,0.0,0.524,Barren / Sparsely Vegetated,-0.05,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Zero liquid precipitation analog.
TT-003,14.2417,40.3,Ethiopia,Afar,-125.0,3.2,14.1,4.1,42.0,12.5,0.2,0.3474,Barren / Sparsely Vegetated,0.01,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Lowest subaerial elevation in Africa.
TT-004,-20.1338,-67.4891,Bolivia,Potosi,3656.0,0.4,2.1,0.8,68.0,24.0,0.0,0.3832,Barren / Sparsely Vegetated,-0.01,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Global satellite altimetry calibration flat.
TT-005,20.0,50.0,Saudi Arabia,Eastern Province,180.0,12.5,32.0,16.2,185.0,95.0,0.0,0.562,Barren / Sparsely Vegetated,0.01,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Continuous mega-dune topography.
TT-006,33.5,85.2,China,Tibet,4820.0,4.5,19.8,9.5,140.0,62.0,0.05,0.4861,Grasslands,0.15,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,High plateau permafrost environment.
TT-007,36.2503,-116.8258,United States,California,-86.0,2.1,8.5,2.3,28.0,0.4,0.1,0.3223,Barren / Sparsely Vegetated,0.03,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Lowest elevation point in North America.
TT-008,-29.15,129.25,Australia,Western Australia,240.0,2.4,7.9,3.8,210.0,85.0,0.0,0.57,Open Shrublands,0.12,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Pristine arid wilderness reserve.
TT-009,79.9833,-85.9,Canada,Nunavut,920.0,15.6,42.1,28.4,240.0,240.0,0.0,0.78,Permanent Snow and Ice,-0.12,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,High northern latitude benchmark.
TT-010,-24.7275,15.3444,Namibia,Hardap,580.0,14.8,38.5,21.0,65.0,14.0,0.01,0.3687,Barren / Sparsely Vegetated,0.04,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,World's oldest coastal desert dunes.
TT-011,64.4167,-16.8333,Iceland,Eastern Region,720.0,8.9,28.4,14.5,48.0,22.0,0.0,0.3648,Barren / Sparsely Vegetated,0.05,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Apollo lunar analog training field.
TT-012,17.05,21.8,Chad,Ennedi-Ouest,1040.0,21.5,58.0,42.0,95.0,54.0,0.02,0.4407,Barren / Sparsely Vegetated,0.03,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Relict Saharan aquatic refugia.
TT-013,-49.35,69.5833,French Southern Territories,Kerguelen,610.0,11.2,31.5,19.8,88.0,88.0,0.0,0.476,Open Shrublands,0.22,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Isolated southern oceanic pole of inaccessibility.
TT-014,49.1417,87.8167,Mongolia,Bayan-Olgii,3450.0,24.8,62.1,58.2,115.0,72.0,0.0,0.4784,Barren / Sparsely Vegetated,0.08,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Triple boundary glaciated mountain summit.
TT-015,-24.3667,-128.3167,Pitcairn Islands,Henderson,33.0,1.8,9.4,2.2,195.0,195.0,0.0,0.69,Evergreen Broadleaf Forests,0.68,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Uninhabited raised coral atoll wilderness.
TT-016,55.83,160.33,Russia,Kamchatka,1520.0,16.4,41.2,29.5,75.0,38.0,0.0,0.4056,Barren / Sparsely Vegetated,0.06,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Soviet lunar rover Lunokhod test grounds.
TT-017,40.2525,58.4397,Turkmenistan,Ahal,95.0,3.6,12.0,4.8,32.0,8.5,0.1,0.3352,Barren / Sparsely Vegetated,0.04,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Central Asian basin desert terrain.
TT-018,-62.95,-60.6333,Antarctica,South Shetland Islands,140.0,19.2,44.0,26.8,130.0,130.0,0.0,0.56,Permanent Snow and Ice,-0.08,2026-09-22,"NASA_SRTM_30M,MODIS_MCD12Q1,LANDSAT9_C2,NATURAL_EARTH,WORLDPOP",A,Active volcanic island with glaciomarine interaction.
